Ladino             Turkish
metro               metro
otobus              otobüs
otobuses            otobüs
otomobil            araba, otomobil
otomobiles          araba, otomobil
tractor             traktör
tramvay             tramvay
tramvayes           tramvay
treno               tren
trenos              tren
