Ladino             Turkish
anchua              hamsi
ava freska          bakla
hohombro            hıyar, salatalık
kol                 lahana
kuchundurya         karnıbahar
kulupiya            karnıbahar
prasa               prasa
prasas              prasa
safanorya           havuç
safanoryas          havuç
sevoya              soğan
shampinyon          mantar
tomat               domates
