Ladino             Turkish
dos                 iki
kuatro              dört
onze                onbir
sinko               beş
tres                üç
uno                 bir, biri, tıpkısı
una                 bir, biri, tıpkısı
unos                bir, biri, tıpkısı
unas                bir, biri, tıpkısı
