Ladino             English
ande                where, where to
deke                why
ke                  what
ke                  that
ken                 who
komo                how
komo                as
komo                like
kual                which
kualo               what
kuando              when
kuanto              how much
kuantos             how many, all those
kuantas             how many, all those
