Ladino             English
abreviasion         abbreviation
abreviasiones       abbreviations
adjektival          adjectival
diminutivo          dimunitive
diminutivos         dimunitives
konjugasion         conjugation
konjugasiones       conjugations
prefikso            prefix
prepozision         preposition
prepozisiones       prepositions
prezente            present
verbo               verb
verbos              verbs
