Ladino             Turkish
Ardjentina          Arjantin
Bosna               Bosna
Bulgaria            Bulgaristan
Espanya             İspanya
Fransia             Fransa
Israel              İsrail
Italya              İtalya
Meksiko             Meksika
Polonya             Polonya
Suedia              İsveç
Turkia              Türkiye
Ungaria             Macaristan
ingletierra         
