Ladino             Spanish
ande                donde, a donde
deke                por qué, para qué
ke                  qué
ke                  que
ken                 quién
komo                como
komo                como
komo                como
kual                cual
kualo               qué
kuando              cuando
kuanto              cuanto
kuantos             cuantos
kuantas             cuantas
